country_name,country_code,gdp2020,gdp2021,gdp2022,gdp2023
Aruba,ABW,24008.12782,29127.75938,33300.83882,
Africa Eastern and Southern,AFE,1356.088871,1545.956697,1642.432039,1672.505957
Afghanistan,AFG,512.055098,355.7778264,352.6037331,
Africa Western and Central,AFW,1688.470871,1769.171853,1788.875347,1584.333285
Angola,AGO,1450.905111,1927.474078,2933.484644,2309.52162
Albania,ALB,5343.037704,6377.203096,6810.114041,8367.775731
Andorra,AND,37207.222,42066.49052,42350.69707,46544.72072
Arab World,ARB,5735.509867,6503.793376,7776.62938,7377.398936
United Arab Emirates,ARE,37629.17417,44332.34005,53707.98008,52976.80838
Argentina,ARG,8500.837939,10650.86046,13650.60463,13730.51471
Armenia,ARM,4505.867742,4972.783204,7018.051504,8715.765336
American Samoa,ASM,15609.77722,16653.71378,19673.3901,
Antigua and Barbuda,ATG,15224.85859,17178.54372,19919.72669,21560.21533
Australia,AUS,51868.24756,60697.24544,65077.67667,64711.7656
Austria,AUT,48789.49785,53517.89045,52084.6812,56505.96828
Azerbaijan,AZE,4229.910649,5408.045352,7770.594223,7155.083604
Burundi,BDI,216.8274175,221.1578034,259.0250314,199.5807602
Belgium,BEL,45587.96831,51863.83116,49942.09064,53475.2935
Benin,BEN,1240.733155,1360.911474,1304.994797,1434.662834
Burkina Faso,BFA,823.5524109,888.8036109,830.0439659,874.1212804
Bangladesh,BGD,2233.767282,2457.964466,2687.899063,2529.080127
Bulgaria,BGR,10148.3424,12219.34187,13974.44925,15797.59558
Bahrain,BHR,23433.18724,26850.00339,30146.92503,29084.30713
"Bahamas, The",BHS,24499.16476,27871.37233,32041.25039,34749.63829
Bosnia and Herzegovina,BIH,6095.104237,7237.274463,7587.588173,8426.09111
Belarus,BLR,6542.86454,7489.718947,7994.648061,7829.053137
Belize,BLZ,5185.15807,6060.968223,6984.21696,7987.585955
Bermuda,BMU,107791.8864,114274.622,123091.1235,
Bolivia,BOL,3068.812555,3345.023002,3600.121635,3700.978338
Brazil,BRA,6923.699912,7794.880979,9065.497334,10043.62392
Barbados,BRB,17028.41378,17586.33001,20738.45119,22672.61544
Brunei Darussalam,BRN,27179.35289,31448.91275,37152.47697,33430.91848
Bhutan,BTN,3181.339747,3561.225287,3704.018395,
Botswana,BWA,5875.070435,7244.158548,7726.110997,7249.799326
Central African Republic,CAF,435.4692478,461.137511,427.0580962,445.028196
Canada,CAN,43537.8393,52496.84417,55509.39318,53371.69743
Central Europe and the Baltics,CEB,16302.75462,18816.13369,19414.74166,22494.48066
Switzerland,CHE,85897.78433,93446.43445,93259.90572,99994.93802
Channel Islands,CHI,54357.93445,64502.53118,64501.27424,
Chile,CHL,13162.59135,16185.91477,15411.17395,17093.24197
China,CHN,10408.71955,12617.5051,12662.58317,12614.06099
Cote d'Ivoire,CIV,2350.751397,2649.173048,2491.895934,2728.803246
Cameroon,CMR,1539.130545,1654.257037,1563.48894,1673.648889
"Congo, Dem. Rep.",COD,524.6666862,576.9747294,664.5935433,649.1439879
"Congo, Rep.",COG,2011.28344,2540.470024,2649.230634,2508.823395
Colombia,COL,5308.164707,6182.955944,6657.086697,6979.725135
Comoros,COM,1519.586781,1577.470841,1484.892465,1587.161896
Cabo Verde,CPV,3126.399859,3489.973397,3883.911159,4321.579864
Costa Rica,CRI,12179.25667,12604.04884,13365.3564,16595.37038
Caribbean small states,CSS,10101.79046,11732.89755,15296.21298,16810.93502
Cuba,CUB,9499.572504,48436.38,56495.85,
Curacao,CUW,16356.09336,17980.08869,20492.81531,
Cayman Islands,CYM,84018.33258,88940.15659,96073.76359,
Cyprus,CYP,28281.41211,32745.83984,32048.24805,34701.44141
Czechia,CZE,22992.87938,26822.51419,27226.61564,30427.42347
Germany,DEU,46749.47623,51426.75037,48717.99114,52745.75571
Djibouti,DJI,2921.738706,3062.551482,3278.138696,3606.416896
Dominica,DMA,7003.469891,7668.158132,8347.32336,8953.896394
Denmark,DNK,60836.59241,69268.6518,67790.05399,67967.38187
Dominican Republic,DOM,7167.914974,8476.749639,10111.24571,10716.01336
Algeria,DZA,3794.409524,4216.251285,5023.252932,5260.20625
East Asia & Pacific (excluding high income),EAP,8262.927254,9813.484817,9916.804344,9912.696851
Early-demographic dividend,EAR,3254.227943,3743.858874,4099.075913,4258.917637
East Asia & Pacific,EAS,11487.83281,13141.52866,12909.91874,12927.68381
Europe & Central Asia (excluding high income),ECA,5738.254992,6620.203796,7302.238611,8479.056831
Europe & Central Asia,ECS,23994.92867,27409.92277,27567.4144,29483.44145
Ecuador,ECU,5450.433761,6036.447274,6476.644575,6533.351504
"Egypt, Arab Rep.",EGY,3571.556907,3886.722498,4295.407496,3512.580065
Euro area,EMU,37915.38336,42527.52421,40835.65476,44368.57554
Eritrea,ERI,,,,
Spain,ESP,26984.29628,30488.82095,29674.54429,32676.98371
